,date,close
0,20220308,1.089865
1,20220309,1.10757
2,20220310,1.0987
3,20220311,1.091435
4,20220314,1.094015
5,20220315,1.0956
6,20220316,1.103515
7,20220317,1.109245
8,20220318,1.10508
9,20220321,1.1016
10,20220322,1.10294
11,20220323,1.100395
12,20220324,1.099695
13,20220325,1.09828
14,20220328,1.098575
15,20220329,1.10863
16,20220330,1.11579
17,20220331,1.10668
18,20220401,1.104615
19,20220404,1.097225
20,20220405,1.090475
21,20220406,1.089695
22,20220407,1.087985
23,20220408,1.087655
24,20220411,1.088385
25,20220412,1.082755
26,20220413,1.089075
27,20220414,1.082925
28,20220415,1.081015
29,20220418,1.08095
